Index,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.x,Head.rot.y,Head.rot.z,Head.rot.w,LeftHand.pos.x,LeftHand.pos.y,LeftHand.pos.z,LeftHand.rot.x,LeftHand.rot.y,LeftHand.rot.z,LeftHand.rot.w,RightHand.pos.x,RightHand.pos.y,RightHand.pos.z,RightHand.rot.x,RightHand.rot.y,RightHand.rot.z,RightHand.rot.w,
0.24018,0.03737,1.47039,0.43787,-0.19978,-0.27832,0.09702,-0.93446,-0.18136,1.04391,0.59110,0.22395,-0.16356,0.08501,-0.95701,0.09945,1.15710,0.54747,0.36205,0.13919,-0.12971,-0.91253
0.24589,0.03778,1.47038,0.43794,-0.19989,-0.27800,0.09717,-0.93452,-0.18198,1.03390,0.59089,0.20694,-0.16335,0.08474,-0.96089,0.09979,1.16322,0.54663,0.37378,0.13790,-0.12749,-0.90831
0.25179,0.03806,1.47031,0.43797,-0.19993,-0.27771,0.09730,-0.93458,-0.18235,1.02399,0.59089,0.19142,-0.16336,0.08434,-0.96414,0.09967,1.16886,0.54554,0.38435,0.13663,-0.12563,-0.90433
0.25757,0.03836,1.47023,0.43800,-0.20003,-0.27741,0.09745,-0.93463,-0.18246,1.01419,0.59051,0.17348,-0.16268,0.08418,-0.96765,0.09957,1.17488,0.54428,0.39572,0.13529,-0.12339,-0.89993
0.26309,0.03864,1.47016,0.43801,-0.20012,-0.27715,0.09757,-0.93468,-0.18338,1.00418,0.58957,0.15519,-0.16258,0.08524,-0.97068,0.09976,1.17965,0.54325,0.40631,0.13427,-0.11996,-0.89582
0.26885,0.03891,1.47009,0.43803,-0.20019,-0.27690,0.09773,-0.93472,-0.18394,0.99491,0.58877,0.13903,-0.16262,0.08624,-0.97303,0.09982,1.18445,0.54208,0.41572,0.13322,-0.11714,-0.89202
0.27436,0.03916,1.47003,0.43804,-0.20027,-0.27670,0.09782,-0.93475,-0.18477,0.98605,0.58764,0.12317,-0.16338,0.08866,-0.97482,0.10003,1.18844,0.54101,0.42397,0.13234,-0.11345,-0.88874
0.28007,0.03938,1.46997,0.43805,-0.20036,-0.27653,0.09791,-0.93477,-0.18529,0.97746,0.58644,0.10795,-0.16412,0.09038,-0.97634,0.10069,1.19284,0.54004,0.43276,0.13117,-0.11042,-0.88506
0.28620,0.03965,1.46991,0.43807,-0.20045,-0.27630,0.09799,-0.93481,-0.18601,0.96905,0.58475,0.09185,-0.16614,0.09320,-0.97738,0.10075,1.19691,0.53886,0.44272,0.12990,-0.10682,-0.88075
0.29133,0.03991,1.46987,0.43822,-0.20057,-0.27610,0.09805,-0.93484,-0.18647,0.96145,0.58321,0.07855,-0.16756,0.09537,-0.97809,0.10120,1.19960,0.53799,0.44921,0.12867,-0.10333,-0.87805
0.29666,0.04009,1.46982,0.43824,-0.20066,-0.27588,0.09808,-0.93488,-0.18661,0.95454,0.58167,0.06643,-0.16900,0.09730,-0.97855,0.10159,1.20261,0.53703,0.45623,0.12737,-0.10023,-0.87498
0.30286,0.04030,1.46978,0.43826,-0.20078,-0.27557,0.09807,-0.93495,-0.18706,0.94854,0.57984,0.05634,-0.17099,0.09975,-0.97859,0.10257,1.20522,0.53637,0.46347,0.12568,-0.09666,-0.87182
